mar 1987,1777.87
abr 1987,1674.56
may 1987,1890.01
jun 1987,1860.9
jul 1987,1988.16
ago 1987,1645.35
sep 1987,1798.53
oct 1987,1737.38
nov 1987,1782.15
dic 1987,1473.6
ene 1988,1380.29
feb 1988,1731.17
mar 1988,2012.86
abr 1988,1769.88
may 1988,2011.04
jun 1988,2006.82
jul 1988,1916.6
ago 1988,1980.67
sep 1988,2053.6
oct 1988,1982.8
nov 1988,2055.78
dic 1988,1769.1
ene 1989,1888.1
feb 1989,1964.6
mar 1989,2227.5
abr 1989,2129.9
may 1989,2335.7
jun 1989,2460.6
jul 1989,2257.7
ago 1989,2194.6
sep 1989,2236.6
oct 1989,2382.9
nov 1989,2179.8
dic 1989,1769.3
ene 1990,2130.8
feb 1990,2230.61
mar 1990,2668.83
abr 1990,2179.45
may 1990,2811.46
jun 1990,2550.41
jul 1990,2566.48
ago 1990,2364.23
sep 1990,2295.97
oct 1990,2488.54
nov 1990,2484.02
dic 1990,1800.87
ene 1991,2329.93
feb 1991,2152.46
mar 1991,2055.2
abr 1991,2649.75
may 1991,2765.29
jun 1991,2530.32
jul 1991,2713.83
ago 1991,2159.16
sep 1991,2422.9
oct 1991,2736.21
nov 1991,2384.78
dic 1991,1897.44
ene 1992,2036.1
feb 1992,2154.24
mar 1992,2435.65
abr 1992,2184.2
may 1992,2281.2
jun 1992,2329.3
jul 1992,2486.08
ago 1992,1930.29
sep 1992,2229.7
oct 1992,2081.39
nov 1992,2095.52
dic 1992,1807.46
ene 1993,1629.66
feb 1993,1843.19
mar 1993,2090.3
abr 1993,1988.76
may 1993,1983.47
jun 1993,2093.48
jul 1993,2108.7
ago 1993,1754.42
sep 1993,1952.06
oct 1993,1733.98
nov 1993,1825.42
dic 1993,1647.58
ene 1994,1515.7
feb 1994,1727.99
mar 1994,2156.91
abr 1994,2004.57
may 1994,2098.61
jun 1994,2194.75
jul 1994,2043.16
ago 1994,2039.78
sep 1994,2146.92
oct 1994,2022.58
nov 1994,2123.5
dic 1994,1963.32
ene 1995,1842.16
feb 1995,1956.53
mar 1995,2444.82
abr 1995,2028.58
may 1995,2432.15
jun 1995,2359.74
jul 1995,2192.32
ago 1995,2024.01
sep 1995,2081.34
oct 1995,2209.43
nov 1995,2168.66
dic 1995,1718.59
ene 1996,1811.43
feb 1996,1819.68
mar 1996,2045.58
abr 1996,2129.11
may 1996,2261.47
jun 1996,2135.11
jul 1996,2306.71
ago 1996,2024.46
sep 1996,2224.72
oct 1996,2356.56
nov 1996,2001.53
dic 1996,1610.59
ene 1997,1729.18
feb 1997,1835.03
mar 1997,2153.36
abr 1997,2462.7
may 1997,2416.03
jun 1997,2347.08
jul 1997,2673.14
ago 1997,2103.02
sep 1997,2454.66
oct 1997,2624.88
nov 1997,2097.03
dic 1997,1898.49
ene 1998,1964
feb 1998,2161.94
mar 1998,2733.52
abr 1998,2415.39
may 1998,2573.01
jun 1998,2805.1
jul 1998,3034.56
